group,metric,factor,delta,n_same,n_diff,mean_same,mean_diff
tcga_20x_224,kernel_cka,architecture (exact),-0.1823168025165351,1,5,0.3363637257766036,0.5186805282931387
tcga_20x_224,svcca,objective,nan,6,0,nan,nan
tcga_20x_224,svcca,architecture (backbone),nan,6,0,nan,nan
tcga_20x_224,svcca,architecture (exact),-0.0049089204667658315,1,5,0.5643741848595938,0.5692831053263596
tcga_20x_224,pwcca,objective,nan,6,0,nan,nan
tcga_20x_224,pwcca,architecture (backbone),nan,6,0,nan,nan
tcga_20x_224,pwcca,architecture (exact),-0.04979859579624335,1,5,0.7255280981839197,0.7753266939801631
tcga_20x_224,procrustes,objective,nan,6,0,nan,nan
tcga_20x_224,procrustes,architecture (backbone),nan,6,0,nan,nan
tcga_20x_224,procrustes,architecture (exact),0.02360126570556864,1,5,0.6694364051174326,0.645835139411864
tcga_20x_224,cosine_rsa,objective,nan,6,0,nan,nan
tcga_20x_224,cosine_rsa,architecture (backbone),nan,6,0,nan,nan
tcga_20x_224,cosine_rsa,architecture (exact),-0.14980617478771435,1,5,0.2715244268442827,0.42133060163199704
tcga_20x_224,distance_correlation,objective,nan,6,0,nan,nan
tcga_20x_224,distance_correlation,architecture (backbone),nan,6,0,nan,nan
tcga_20x_224,distance_correlation,architecture (exact),-0.13325037448615207,1,5,0.5821030865954961,0.7153534610816482
tcga_20x_256,linear_cka,objective,0.0795434835210147,4,11,0.7095349722374504,0.6299914887164357
tcga_20x_256,linear_cka,architecture (backbone),-0.013627709502068708,6,9,0.6430264586207984,0.6566541681228671
tcga_20x_256,linear_cka,architecture (exact),0.079097492522895,1,14,0.7250274106767417,0.6459299181538467
tcga_20x_256,kernel_cka,objective,0.06781153542496565,4,11,0.7264973470845012,0.6586858116595355
tcga_20x_256,kernel_cka,architecture (backbone),-0.020697033749195848,6,9,0.6643506675233423,0.6850477012725381
tcga_20x_256,kernel_cka,architecture (exact),0.07771608157698906,1,14,0.7493038972447165,0.6715878156677274
tcga_20x_256,svcca,objective,0.0376945779622061,4,11,0.5915593474932386,0.5538647695310325
tcga_20x_256,svcca,architecture (backbone),0.11067190647035674,6,9,0.6303198008698349,0.5196478943994781
tcga_20x_256,svcca,architecture (exact),0.06571333075155195,1,14,0.6252490990224027,0.5595357682708507
tcga_20x_256,pwcca,objective,0.025549773014361454,4,11,0.6210801533033273,0.5955303802889659
tcga_20x_256,pwcca,architecture (backbone),0.03887482988631796,6,9,0.6256685510245864,0.5867937211382684
tcga_20x_256,pwcca,architecture (exact),-0.06914617408209123,1,14,0.5378072239495104,0.6069533980316016
tcga_20x_256,procrustes,objective,0.0495150213024621,4,11,0.6127846308702899,0.5632696095678278
tcga_20x_256,procrustes,architecture (backbone),-0.04161297886279525,6,9,0.5515058279308073,0.5931188067936025
tcga_20x_256,procrustes,architecture (exact),0.03165831330754143,1,14,0.606021374335523,0.5743630610279816
tcga_20x_256,cosine_rsa,objective,0.0385924020858347,4,11,0.6755190587608035,0.6369266566749688
tcga_20x_256,cosine_rsa,architecture (backbone),-0.047212193449565065,6,9,0.618890647828119,0.666102841277684
tcga_20x_256,cosine_rsa,architecture (exact),0.08650871774514735,1,14,0.727959433793329,0.6414507160481816
tcga_20x_256,distance_correlation,objective,0.04087324517754887,4,11,0.8529570183461554,0.8120837731686066
tcga_20x_256,distance_correlation,architecture (backbone),-0.012363613635448134,6,9,0.815565137034684,0.8279287506701322
tcga_20x_256,distance_correlation,architecture (exact),0.04699112591804189,1,14,0.8668416894061253,0.8198505634880834
tcga_20x_512,linear_cka,objective,nan,1,0,nan,nan
tcga_20x_512,linear_cka,architecture (backbone),nan,1,0,nan,nan
tcga_20x_512,linear_cka,architecture (exact),nan,0,1,nan,nan
tcga_20x_512,kernel_cka,objective,nan,1,0,nan,nan
tcga_20x_512,kernel_cka,architecture (backbone),nan,1,0,nan,nan
tcga_20x_512,kernel_cka,architecture (exact),nan,0,1,nan,nan
tcga_20x_512,svcca,objective,nan,1,0,nan,nan
tcga_20x_512,svcca,architecture (backbone),nan,1,0,nan,nan
tcga_20x_512,svcca,architecture (exact),nan,0,1,nan,nan
tcga_20x_512,pwcca,objective,nan,1,0,nan,nan
tcga_20x_512,pwcca,architecture (backbone),nan,1,0,nan,nan
tcga_20x_512,pwcca,architecture (exact),nan,0,1,nan,nan
tcga_20x_512,procrustes,objective,nan,1,0,nan,nan
tcga_20x_512,procrustes,architecture (backbone),nan,1,0,nan,nan
tcga_20x_512,procrustes,architecture (exact),nan,0,1,nan,nan
tcga_20x_512,cosine_rsa,objective,nan,1,0,nan,nan
tcga_20x_512,cosine_rsa,architecture (backbone),nan,1,0,nan,nan
tcga_20x_512,cosine_rsa,architecture (exact),nan,0,1,nan,nan
tcga_20x_512,distance_correlation,objective,nan,1,0,nan,nan
tcga_20x_512,distance_correlation,architecture (backbone),nan,1,0,nan,nan
tcga_20x_512,distance_correlation,architecture (exact),nan,0,1,nan,nan
