magnification,metric,model_a,model_b,pair,similarity
10.0,distance_correlation,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.8767846594661821
10.0,distance_correlation,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.6373829184739024
10.0,distance_correlation,KEEP,UNI2-h,KEEP~UNI2-h,0.8702791975065534
10.0,distance_correlation,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.6572197796447086
20.0,linear_cka,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.6872719231541138
20.0,linear_cka,CTransPath,KEEP,CTransPath~KEEP,0.5344127400680934
20.0,linear_cka,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.5745850264335401
20.0,linear_cka,CTransPath,UNI2-h,CTransPath~UNI2-h,0.5619334740735062
20.0,linear_cka,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.5834565933900736
20.0,linear_cka,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.4273464854652024
20.0,linear_cka,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.7705925155146249
20.0,linear_cka,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.344590720733028
20.0,linear_cka,KEEP,UNI2-h,KEEP~UNI2-h,0.615974088167063
20.0,linear_cka,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.277069484648297
20.0,kernel_cka,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.7101952636558303
20.0,kernel_cka,CTransPath,KEEP,CTransPath~KEEP,0.5587534958409518
20.0,kernel_cka,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.6410763013632068
20.0,kernel_cka,CTransPath,UNI2-h,CTransPath~UNI2-h,0.5901574318108672
20.0,kernel_cka,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.5993707842398407
20.0,kernel_cka,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.4737780380963719
20.0,kernel_cka,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.776568906055047
20.0,kernel_cka,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.36461086744634313
20.0,kernel_cka,KEEP,UNI2-h,KEEP~UNI2-h,0.6285509530154858
20.0,kernel_cka,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.317271153789034
20.0,svcca,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.600424944411736
20.0,svcca,CTransPath,KEEP,CTransPath~KEEP,0.4097898584267013
20.0,svcca,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.4606036049580705
20.0,svcca,CTransPath,UNI2-h,CTransPath~UNI2-h,0.6134001538451241
20.0,svcca,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.5744145326676876
20.0,svcca,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.48307451622292835
20.0,svcca,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.4911155639865661
20.0,svcca,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.36885065876656176
20.0,svcca,KEEP,UNI2-h,KEEP~UNI2-h,0.6113152190467802
20.0,svcca,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.4905641765881898
20.0,pwcca,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.6742510559684743
20.0,pwcca,CTransPath,KEEP,CTransPath~KEEP,0.5346449560251711
20.0,pwcca,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.600358711633183
20.0,pwcca,CTransPath,UNI2-h,CTransPath~UNI2-h,0.6715663904276872
20.0,pwcca,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.6545166914428197
20.0,pwcca,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.5879095943195104
20.0,pwcca,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.5944322279504728
20.0,pwcca,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.5151901954210347
20.0,pwcca,KEEP,UNI2-h,KEEP~UNI2-h,0.6724578663637792
20.0,pwcca,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.5744774849277
20.0,procrustes,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.616540247230824
20.0,procrustes,CTransPath,KEEP,CTransPath~KEEP,0.6020102579728209
20.0,procrustes,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.6826153076446295
20.0,procrustes,CTransPath,UNI2-h,CTransPath~UNI2-h,0.5803048362985093
20.0,procrustes,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.5672812538552054
20.0,procrustes,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.5072652272718664
20.0,procrustes,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.664666849805907
20.0,procrustes,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.49390892446663254
20.0,procrustes,KEEP,UNI2-h,KEEP~UNI2-h,0.5803287699675596
20.0,procrustes,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.46681283193638246
20.0,cosine_rsa,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.6359982707691191
20.0,cosine_rsa,CTransPath,KEEP,CTransPath~KEEP,0.47826208926587255
20.0,cosine_rsa,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.6296111457353398
20.0,cosine_rsa,CTransPath,UNI2-h,CTransPath~UNI2-h,0.4943667974260407
20.0,cosine_rsa,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.5111521590888948
20.0,cosine_rsa,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.4089161439926678
20.0,cosine_rsa,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.7071283615532098
20.0,cosine_rsa,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.3363319776311478
20.0,cosine_rsa,KEEP,UNI2-h,KEEP~UNI2-h,0.5380115625873112
20.0,cosine_rsa,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.24354365439489672
20.0,distance_correlation,CTransPath,Prov-GigaPath,CTransPath~Prov-GigaPath,0.8433222944227006
20.0,distance_correlation,CTransPath,KEEP,CTransPath~KEEP,0.7474388213890836
20.0,distance_correlation,CTransPath,ResNet50 (ImageNet),CTransPath~ResNet50 (ImageNet),0.8021230909809628
20.0,distance_correlation,CTransPath,UNI2-h,CTransPath~UNI2-h,0.7680261659023748
20.0,distance_correlation,Prov-GigaPath,KEEP,Prov-GigaPath~KEEP,0.7738713813315433
20.0,distance_correlation,Prov-GigaPath,ResNet50 (ImageNet),Prov-GigaPath~ResNet50 (ImageNet),0.6876983511846458
20.0,distance_correlation,Prov-GigaPath,UNI2-h,Prov-GigaPath~UNI2-h,0.8801860995796247
20.0,distance_correlation,KEEP,ResNet50 (ImageNet),KEEP~ResNet50 (ImageNet),0.6009924161097021
20.0,distance_correlation,KEEP,UNI2-h,KEEP~UNI2-h,0.7942223131833737
20.0,distance_correlation,ResNet50 (ImageNet),UNI2-h,ResNet50 (ImageNet)~UNI2-h,0.561259120247286
